"epoch","base_flowers102 - val/f1_macro","base_flowers102 - val/f1_macro__MIN","base_flowers102 - val/f1_macro__MAX","base_flowers102 - _step","base_flowers102 - _step__MIN","base_flowers102 - _step__MAX"
"81","0.36710798740386963","0.36710798740386963","0.36710798740386963","1474","1474","1474"
"82","0.3722865879535675","0.3722865879535675","0.3722865879535675","1492","1492","1492"
"83","0.3761821389198303","0.3761821389198303","0.3761821389198303","1510","1510","1510"
"84","0.3801088035106659","0.3801088035106659","0.3801088035106659","1528","1528","1528"
"85","0.3724813759326935","0.3724813759326935","0.3724813759326935","1546","1546","1546"
"86","0.3689044415950775","0.3689044415950775","0.3689044415950775","1564","1564","1564"
"87","0.37707260251045227","0.37707260251045227","0.37707260251045227","1582","1582","1582"
"88","0.36932140588760376","0.36932140588760376","0.36932140588760376","1600","1600","1600"
"89","0.3715953528881073","0.3715953528881073","0.3715953528881073","1618","1618","1618"
"90","0.3750287592411041","0.3750287592411041","0.3750287592411041","1636","1636","1636"
"91","0.3726499378681183","0.3726499378681183","0.3726499378681183","1654","1654","1654"
"92","0.3816930949687958","0.3816930949687958","0.3816930949687958","1672","1672","1672"
"93","0.37773656845092773","0.37773656845092773","0.37773656845092773","1690","1690","1690"
"94","0.37751680612564087","0.37751680612564087","0.37751680612564087","1708","1708","1708"
"95","0.37031424045562744","0.37031424045562744","0.37031424045562744","1726","1726","1726"
"96","0.3747759163379669","0.3747759163379669","0.3747759163379669","1744","1744","1744"
"97","0.37816208600997925","0.37816208600997925","0.37816208600997925","1762","1762","1762"
"98","0.3794063627719879","0.3794063627719879","0.3794063627719879","1780","1780","1780"
"99","0.3823065757751465","0.3823065757751465","0.3823065757751465","1798","1798","1798"
